City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
511,Saldanha,ZA,61.72,clear sky,-33.0117,17.9442,Blue Bay Lodge
518,Dalbandin,PK,69.3,clear sky,28.8947,64.4101,Sanjrani House
527,Ravar,IR,68.52,clear sky,31.2656,56.8055,computertik
529,Estelle,US,63.0,few clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
533,Benghazi,LY,55.36,clear sky,32.1167,20.0667,Tibesti Hotel
541,Aviles,ES,52.99,overcast clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
542,Marzuq,YE,67.71,broken clouds,14.4,46.4667,
549,Mpanda,TZ,62.71,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
552,Hecun,CN,50.61,light rain,36.5333,114.1111,Yijia Hotel
553,Jijiga,ET,63.95,few clouds,9.35,42.8,RAMAAS HOTEL
557,San Gavino Monreale,IT,54.73,clear sky,39.5514,8.7917,Hotel Crocus
561,Kasama,ZM,60.17,broken clouds,-10.2129,31.1808,Kalebalika Cottages
563,Santa Maria,BR,63.03,overcast clouds,-29.6842,-53.8069,Hotel Morotin
565,Bisira,PA,58.57,broken clouds,8.5196,-81.7115,
568,Calvia,ES,56.91,overcast clouds,39.5657,2.5062,Castell Son Claret
570,Shenjiamen,CN,58.93,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
572,Lumeje,AO,63.99,scattered clouds,-11.55,20.7833,
575,Shache,CN,51.71,scattered clouds,38.4167,77.2406,Delong Hotel
577,Kasongo-Lunda,CD,67.3,scattered clouds,-6.4667,16.8167,
579,Santa Cecilia,BR,57.36,overcast clouds,-26.9608,-50.4269,Hotel Italiano
584,Viedma,AR,58.1,overcast clouds,-40.8135,-62.9967,Hotel Cristal
591,Atar,MR,64.27,clear sky,20.5169,-13.0499,Oumou Elghoura
593,Aguimes,ES,56.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
607,Taltal,CL,65.23,clear sky,-25.4,-70.4833,Residencial Karime
611,Sao Mateus Do Sul,BR,62.15,overcast clouds,-25.8742,-50.3828,Hotel Dom Leopoldo
613,Najran,SA,68.18,clear sky,17.4924,44.1277,محمد هادي ال فطيح
614,Kutum,SD,57.47,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
617,Codrington,AU,67.69,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
618,Bardsir,IR,54.81,clear sky,29.9227,56.5743,هتل سجاد
621,Timoteo,BR,67.87,clear sky,-19.5825,-42.6444,So o @jeeanfelips contem este selo
622,Treinta Y Tres,UY,51.85,few clouds,-33.2333,-54.3833,Jardines Apart-Hotel
623,Xichang,CN,69.13,few clouds,27.8964,102.2634,Xichang ibis Hotel
629,Isla Vista,US,69.98,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
631,Anahuac,MX,69.4,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
633,Salme,NP,59.29,clear sky,28.0369,85.0942,
637,Scarborough,GB,51.66,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
639,Roald,NO,50.76,mist,62.5833,6.1333,Flem Cabins
640,Kambove,CD,59.65,broken clouds,-10.8764,26.5969,Couvant des soeurs catholiques
653,Sayyan,YE,59.11,clear sky,15.1718,44.3244,ملاطف ابوحورية
658,Calvinia,ZA,58.28,clear sky,-31.4707,19.776,Die Lemoenhuis
674,Imbituva,BR,63.12,overcast clouds,-25.23,-50.6044,Hotel Estrela
676,Pirai Do Sul,BR,63.99,light rain,-24.5261,-49.9486,Victor Hotel
679,Grahamstown,ZA,59.07,light rain,-33.3042,26.5328,Bartholomew's Loft
680,Ocampo,MX,50.59,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
683,Kalabo,ZM,64.45,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
684,Rocha,UY,51.87,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
686,Nettuno,IT,52.48,clear sky,41.4826,12.679,Astura Palace Hotel
687,Richards Bay,ZA,69.89,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
688,Ritchie,ZA,62.24,scattered clouds,-29.038,24.6028,Riverside Country Club Modderrivier
689,Albox,ES,56.32,light rain,37.3886,-2.1495,Steve Conroy Los Olivos
692,Aswan,EG,52.41,clear sky,24.0934,32.907,Nuba Nile
696,Tanabe,JP,60.93,overcast clouds,33.7333,135.3667,美吉屋旅館
697,Mount Pleasant,US,57.97,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
699,Elko,US,56.64,overcast clouds,41.0002,-115.5012,
702,Ginir,ET,59.68,scattered clouds,7.1333,40.7,Sura Dare Village
703,Mahon,ES,54.16,clear sky,39.8885,4.2658,ARTIEM Capri
