City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
68,Los Llanos De Aridane,ES,28.6585,-17.9182,56.12,78,0,4.61,clear sky
69,Phuket,TH,8.0,98.25,87.1,84,20,4.61,few clouds
70,Luderitz,NA,-26.6481,15.1594,62.4,83,0,14.81,clear sky
71,Meulaboh,ID,4.1363,96.1285,82.96,75,60,0.94,broken clouds
72,Rabat,MA,33.9911,-6.8401,50.04,95,40,3.44,scattered clouds
73,Mbini,GQ,1.574,9.6134,78.64,87,83,5.28,broken clouds
74,Logan Lake,CA,50.4998,-120.8025,40.84,85,100,2.91,overcast clouds
75,Impfondo,CG,1.6381,18.0667,72.45,91,100,1.54,light rain
76,Broken Hill,AU,-31.95,141.4333,69.51,40,0,12.66,clear sky
77,Sitka,US,57.0531,-135.33,39.29,92,100,7.67,light rain
78,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,72,0,12.66,clear sky
79,Chuy,UY,-33.6971,-53.4616,55.83,70,8,6.49,clear sky
80,Tuatapere,NZ,-46.1333,167.6833,64.56,61,15,6.15,few clouds
81,Cape Town,ZA,-33.9258,18.4232,63.27,67,0,19.57,clear sky
82,Gonbad-E Qabus,IR,37.25,55.1672,48.11,76,100,9.22,overcast clouds
83,Vao,NC,-22.6667,167.4833,77.47,69,45,13.89,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,0,14.97,clear sky
85,Kerema,PG,-7.9631,145.7785,82.31,77,100,7.67,light rain
86,Camacha,PT,33.0833,-16.3333,56.62,77,40,13.8,scattered clouds
87,Qidong,CN,31.8128,121.6561,59.94,96,100,34.81,moderate rain
88,Gat,IL,31.61,34.7642,49.08,100,99,14.54,overcast clouds
89,Geraldton,AU,-28.7667,114.6,97.21,24,100,14.97,overcast clouds
90,Guerrero Negro,MX,27.9769,-114.0611,65.52,50,74,12.86,broken clouds
91,Buchanan,LR,5.8808,-10.0467,78.66,88,28,3.31,light rain
92,Puerto Ayora,EC,-0.7393,-90.3518,78.51,81,94,8.34,overcast clouds
93,Laguna,US,38.421,-121.4238,75.34,46,0,6.91,clear sky
94,Slave Lake,CA,55.2834,-114.769,33.78,75,40,8.05,scattered clouds
95,Mataura,NZ,-46.1927,168.8643,67.73,46,12,3.47,few clouds
96,Vostok,RU,46.4856,135.8833,33.37,85,100,7.58,snow
97,Mar Del Plata,AR,-38.0023,-57.5575,61.09,82,100,8.99,light rain
98,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,6.91,clear sky
99,Cowansville,CA,45.2001,-72.7491,43.95,85,100,8.05,overcast clouds
